,0,1,,ç∑,ìÒèÊ,MSE,RMSE
367,0.000620008,0.002574392,,,,,
368,0.000620008,0.002574392,,,,,
369,0.000620008,0.002574392,,,,,
370,0.000620008,0.002574392,,,,,
371,0.000620008,0.002574392,,,,,
372,0.000620008,0.002574392,,,,,
373,0.000620008,0.002574392,,,,,
374,0.000620008,0.002574392,,,,,
375,0.000620008,0.002574392,,,,,
376,0.000620008,0.002574392,,,,,
377,0.000620008,0.002574392,,,,,
378,0.000620008,0.002574392,,,,,
379,0.000620008,0.002574392,,,,,
380,0.000620008,0.002574392,,,,,
381,0.000620008,0.002574392,,,,,
382,0.000620008,0.002574392,,,,,
383,0.000620008,0.002574392,,,,,
384,0.000620008,0.002574392,,,,,
385,0.000620008,0.002574392,,,,,
386,0.000620008,0.002574392,,,,,
387,0.000620008,0.002574392,,,,,
388,0.000620008,0.002574392,,,,,
389,0.000620016,0.002574415,,,,,
